2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0.161,0.231,0.088,0.104,0.199,0.068,0.267,0.131,0.28,0.064
0.128,0.236,0.094,0.092,0.2,0.052,0.243,0.116,0.252,0.061
0.073,0.175,0.069,0.053,0.141,0.028,0.171,0.075,0.175,0.04
0.017,0.062,0.023,0.017,0.049,0.008,0.064,0.025,0.062,0.011
0.0,0.001,0.0,0.001,0.001,0.0,0.001,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.008,0.001,0.003,0.004,0.004,0.008,0.008,0.005,0.001
0.031,0.049,0.017,0.024,0.042,0.024,0.066,0.071,0.044,0.035
0.071,0.096,0.04,0.053,0.104,0.033,0.166,0.146,0.093,0.081
0.099,0.143,0.062,0.07,0.172,0.044,0.23,0.203,0.138,0.121
0.1,0.158,0.072,0.07,0.192,0.042,0.247,0.223,0.146,0.133
0.084,0.135,0.06,0.053,0.159,0.029,0.211,0.191,0.123,0.113
0.049,0.08,0.035,0.033,0.1,0.017,0.135,0.123,0.076,0.073
0.014,0.024,0.009,0.013,0.032,0.004,0.039,0.039,0.023,0.021
0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
